"name","original_name","genre","rating","vote"
"Тайна Коко","Coco, 2017","мультфильм, фэнтези",8.6,342103
"Тор: Рагнарёк","Thor: Ragnarok, 2017","фантастика, фэнтези",7.6,313467
"Стражи Галактики. Часть 2","Guardians of the Galaxy Vol. 2, 2017","фантастика, боевик",7.5,307866
"Три билборда на границе Эббинга, Миссури","Three Billboards Outside Ebbing, Missouri, 2017","драма, криминал",8.2,283758
"Оно","It, 2017","ужасы, фэнтези",7.3,269525
"Движение вверх","2017","спорт, драма",7.5,253599
"Логан","Logan, 2017","фантастика, боевик",7.5,249519
"Человек-паук: Возвращение домой","Spider-Man: Homecoming, 2017","фантастика, боевик",7.1,225060
"Бегущий по лезвию 2049","Blade Runner 2049, 2017","фантастика, боевик",7.7,217872
"Меч короля Артура","King Arthur: Legend of the Sword, 2017","фэнтези, боевик",7.1,195654
"Прочь","Get Out, 2017","триллер, ужасы",7.1,176608
"Малыш на драйве","Baby Driver, 2017","боевик, триллер",7.2,168765
"Чудо","Wonder, 2017","драма, семейный",8,155683
"Дюнкерк","Dunkirk, 2017","военный, драма",7.3,142387
"Одарённая","Gifted, 2017","драма",7.8,117596
"Время первых","2017","приключения, триллер",7.5,114518
"Собачья жизнь","A Dog's Purpose, 2017","фэнтези, драма",7.9,112800
"Аритмия","2017","мелодрама, драма",7.7,111324
"Большая игра","Molly's Game, 2017","драма, криминал",7.6,109807
"Тоня против всех","I, Tonya, 2017","биография, спорт",7.3,103334
